id,position,stateID,stateClientUUID,stateUnifiedBillID,lobbyistRepName,clientName,lobbyistFirmName,positionNumeric,year,startDate,endDate,recordType,committee,title,description,legiscanBill,ncslTopicsParsed,ncslMetatopicsParsed,sessionTitle,nameCanonical,
9966931,PROP,IL,IL_22975,IL_HB_0000003712_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-03-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,testimony,H Judiciary - Civil,CAR-SHARING PROGRAM ACT,"Creates the Car-Sharing Program Act. Adds provisions governing: insurance coverage requirements during car-sharing periods; notification of implications of lien; exclusions in motor vehicle liability insurance policies; recordkeeping requirements; vicarious liability; contribution against indemnification; insurable interests; consumer protection disclosures; driver's license verification; data retention; responsibility for equipment; and automobile safety recalls. Effective January 1, 2022.",HB3712,null,null,2021-2022 Regular Session,Internet Association,
9969833,OPP,IL,IL_22975,IL_HB_0000003785_2021,Colleen Daley,Internet Association,Internet Association,-1,2021,2021-03-22T00:00:00.000Z,2021-03-22T00:00:00.000Z,testimony,H Consumer Protection,CONSUMER INFO-WRITTEN NOTICE,Amends the Consumer Fraud and Deceptive Business Practices Act. Provides that a business that sells or shares a consumer's contact information to or with another must send written notice through the U.S. mail to the consumer whose information is being sold or shared and give the consumer the opportunity to opt out of the sale or sharing of the information after receiving the notice. Provides that a business that fails to comply with those requirements commits an unlawful practice within the meaning of the Act.,HB3785,null,null,2021-2022 Regular Session,Internet Association,
10003686,OPP,IL,IL_22975,IL_SB_0000001578_2021,Colleen Daley,Internet Association,Internet Association,-1,2021,2021-04-12T00:00:00.000Z,2021-04-12T00:00:00.000Z,testimony,S Judiciary- Privacy,STUDENT ONLINE PROTECTION,"Amends the Student Online Personal Protection Act. Provides that an operator shall not knowingly sell, rent, lease, or trade a student's information (rather than knowingly sell or rent a student's information). Regarding an operator's request to receive covered information from a school, a school district, or the State Board of Education, provides that the written agreement related thereto must require the operator to provide a parent with a means to view and to request edits to the covered information to be maintained by the operator. If a breach occurs and is attributed to the operator, provides that any investigation and remediation costs and expenses incurred by the school as a result of the breach shall be borne by the operator (rather than the costs and expenses shall be allocated between the operator and the school). Removes local school council members as individuals who are authorized to share, transfer, disclose, or provide access to a student's covered information without a written agreement. Requires the State Board of Education to develop and make available model student data privacy policies and procedures as soon as practical after July 1, 2021. Makes changes concerning parent and student rights. Effective immediately.",SB1578,null,null,2021-2022 Regular Session,Internet Association,
10017632,PROP,IL,IL_22975,IL_SB_0000002066_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-05-06T00:00:00.000Z,2021-05-06T00:00:00.000Z,testimony,H Revenue & Finance,RET OCC TX-MKTPLCE FACILITATOR,"Amends the Retailers' Occupation Tax Act. Provides that, beginning January 1, 2020 and through December 31, 2020, sales of tangible personal property made by a marketplace seller over a marketplace for which tax is due but for which use tax has been collected and remitted to the Department of Revenue by a marketplace facilitator are exempt. Provides that the term ""marketplace facilitator"" does not include any person licensed under the Auction License Act, other than any person who is an Internet auction listing service. Amends the Leveling the Playing Field for Illinois Retail Act. Provides that certified service providers who collect and remit taxes on behalf of retailers may claim the retailers' discount with respect to those taxes. Provides that the retailer is not entitled to the discount with respect to those taxes. Effective immediately.",SB2066,null,null,2021-2022 Regular Session,Internet Association,
10017725,PROP,IL,IL_22975,IL_SB_0000002066_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Revenue,RET OCC TX-MKTPLCE FACILITATOR,"Amends the Retailers' Occupation Tax Act. Provides that, beginning January 1, 2020 and through December 31, 2020, sales of tangible personal property made by a marketplace seller over a marketplace for which tax is due but for which use tax has been collected and remitted to the Department of Revenue by a marketplace facilitator are exempt. Provides that the term ""marketplace facilitator"" does not include any person licensed under the Auction License Act, other than any person who is an Internet auction listing service. Amends the Leveling the Playing Field for Illinois Retail Act. Provides that certified service providers who collect and remit taxes on behalf of retailers may claim the retailers' discount with respect to those taxes. Provides that the retailer is not entitled to the discount with respect to those taxes. Effective immediately.",SB2066,null,null,2021-2022 Regular Session,Internet Association,
10018147,OPP,IL,IL_22975,IL_SB_0000002081_2021,Colleen Daley,Internet Association,Internet Association,-1,2021,2021-04-12T00:00:00.000Z,2021-04-12T00:00:00.000Z,testimony,S Judiciary- Privacy,KEEP INTERNET DEVICES SAFE ACT,"Creates the Keep the Internet Devices Safe Act. Provides that a ""digital device"" is an Internet-connected device that contains a microphone. Provides that no private entity may turn on or enable a digital device's microphone unless the registered owner or person (instead of user of the device) configuring the device is provided certain notices in a consumer agreement (instead of a written policy). Provides that a manufacturer of a digital device that does not cause to be turned on or otherwise use a digital device's microphone is not subject to the restrictions on the use of a digital device's microphone. Provides that the exclusive authority to enforce the Act is vested in the Attorney General.",SB2081,null,null,2021-2022 Regular Session,Internet Association,
10021030,PROP,IL,IL_22975,IL_SB_0000002183_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-05-12T00:00:00.000Z,2021-05-12T00:00:00.000Z,testimony,H Labor & Commerce,TRANSPORT NETWORK-REPEAL 2027,"If and only if House Bill 156 of the 101st General Assembly becomes law, amends the Transportation Network Providers Act. Repeals the Act on January 1, 2027 (instead of June 1, 2021). Effective immediately.",SB2183,null,null,2021-2022 Regular Session,Internet Association,
10021036,PROP,IL,IL_22975,IL_SB_0000002183_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Executive,TRANSPORT NETWORK-REPEAL 2027,"If and only if House Bill 156 of the 101st General Assembly becomes law, amends the Transportation Network Providers Act. Repeals the Act on January 1, 2027 (instead of June 1, 2021). Effective immediately.",SB2183,null,null,2021-2022 Regular Session,Internet Association,
10024790,PROP,IL,IL_22975,IL_SB_0000002403_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Executive,CAR-SHARING PROGRAM ACT,"Creates the Car-Sharing Program Act. Adds provisions governing: insurance coverage requirements during car-sharing periods; notification of implications of lien; exclusions in motor vehicle liability insurance policies; recordkeeping requirements; vicarious liability; contribution against indemnification; insurable interests; consumer protection disclosures; driver's license verification; data retention; responsibility for equipment; and automobile safety recalls. Effective January 1, 2022.",SB2403,null,null,2021-2022 Regular Session,Internet Association,
10036720,PROP,IL,IL_22975,IL_HB_0000003712_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-03-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,testimony,H Judiciary - Civil,CAR-SHARING PROGRAM ACT,"Creates the Car-Sharing Program Act. Adds provisions governing: insurance coverage requirements during car-sharing periods; notification of implications of lien; exclusions in motor vehicle liability insurance policies; recordkeeping requirements; vicarious liability; contribution against indemnification; insurable interests; consumer protection disclosures; driver's license verification; data retention; responsibility for equipment; and automobile safety recalls. Effective January 1, 2022.",HB3712,null,null,2021-2022 Regular Session,Internet Association,
